Streptococcus agalactiae
Bartonella sp.
Corynebacterium ulcerans
Paenisporosarcina cavernae
Pikeienuella piscinae
[Clostridium] innocuum
Eubacterium limosum
Saccharopolyspora sp.
Helicobacter pylori
Streptococcus pyogenes
Dokdonia sp.
Magnetospirillum sp.
Paeniglutamicibacter sp.
Mycolicibacterium doricum
Cellulophaga lytica
Shewanella psychrophila
Pseudomonas azotoformans
Acinetobacter indicus
Ehrlichia sp.
uncultured Sphingopyxis
Flaviflexus salsibiostraticola
Candidatus Portiera
Kroppenstedtia eburnea
Lactobacillus rhamnosus
Listeria monocytogenes
Gilliamella apicola
Thermotoga neapolitana
Neisseria sicca
Nocardioides daphniae
Draconibacterium orientale
Dermatophilus congolensis
Enterococcus faecalis
Candidatus Syntrophocurvum
Rhodopseudomonas palustris
Rhodoplanes sp.
Bacillus megaterium
Cardiobacterium hominis
Klebsiella michiganensis
Paenarthrobacter ureafaciens
Actinomyces radicidentis
Pseudoalteromonas aliena
Mucilaginibacter rubeus
Mycobacterium cookii
Chlamydia trachomatis
Buchnera aphidicola
Corynebacterium glutamicum
Mycobacterium diernhoferi
Bifidobacterium animalis
Rickettsia rickettsii
Clostridium botulinum
Candidatus Portiera
Bacillus mobilis
Sphingobacterium psychroaquaticum
Methylobacterium terrae
Candidatus Koribacter
Streptococcus sp.
Methylogaea oryzae
Neobacillus thermocopriae
Lactococcus lactis
Aeromonas hydrophila
Streptococcus pneumoniae
Caulobacter segnis
Rhodoferax aquaticus
Candidatus Sulcia
Candidatus Portiera
Skermania piniformis
Myroides profundi
Bacillus beveridgei
Mariprofundus ferrinatatus
Bradyrhizobium ottawaense
Candidatus Phytoplasma
Acidothermus cellulolyticus
Mycoplasma pneumoniae
Xylella taiwanensis
Aggregatibacter actinomycetemcomitans
Flavobacterium anhuiense
Parasphingorhabdus sp.
Neisseria mucosa
Acinetobacter baumannii
Azoarcus olearius
Corynebacterium diphtheriae
Lentzea guizhouensis
Microbulbifer sp.
Staphylococcus muscae
Georhizobium profundi
Entomomonas moraniae
Corynebacterium minutissimum
Ichthyobacterium seriolicida
Providencia alcalifaciens
Bartonella sp.
Bifidobacterium animalis
Polynucleobacter asymbioticus
Suicoccus acidiformans
Nibribacter ruber
Shewanella putrefaciens
Actinoalloteichus sp.
Alistipes onderdonkii
Bacteroides cellulosilyticus
Bartonella bacilliformis
Corynebacterium ulcerans
Ruminococcus obeum
Bradyrhizobium diazoefficiens
Dechlorosoma suillum
Pseudomonas alvandae
Alpha proteobacterium
Rhodopseudomonas palustris
Coxiella-like endosymbiont
Methylocaldum marinum
Streptococcus suis
Halobacillus mangrovi
Helicobacter mustelae
Campylobacter subantarcticus
Dehalococcoides mccartyi
Pseudomonas tritici
Bifidobacterium bifidum
Mesoplasma entomophilum
Mycoplasma dispar
Thermaerobacter sp.
Nonomuraea nitratireducens
Leptothermofonsia sichuanensis
Candidatus Carsonella
Streptococcus thermophilus
Streptococcus pneumoniae
Roseburia hominis
Terriglobus saanensis
Geobacter uraniireducens
Mycobacterium seoulense
Vulgatibacter incomptus
Mesoplasma syrphidae
Pandoraea pnomenusa
Wenyingzhuangia fucanilytica
Roseburia intestinalis
Aeromonas hydrophila
Micavibrio aeruginosavorus
Olleya aquimaris
Rickettsia montanensis
Caproicibacter fermentans
Kurthia zopfii
Corynebacterium simulans
Neisseria meningitidis
Gordonia insulae
Streptococcus pneumoniae
Francisella tularensis
MAG: Rhizobiales
Mycoplasma suis
Bartonella apis
Rhizobacter gummiphilus
Streptococcus pyogenes
Coxiella endosymbiont
Campylobacter showae
Rickettsia prowazekii
Salmonella enterica
Listeria seeligeri
Thermophilibacter immobilis
Fluviicola taffensis
Viridibacillus sp.
Anaplasma ovis
Sedimentisphaera salicampi
Bulleidia sp.
Dickeya dianthicola
Dickeya parazeae
Corynebacterium pseudotuberculosis
Kosakonia radicincitans
Listeria weihenstephanensis
Pirellula staleyi
Sulfurihydrogenibium sp.
Streptococcus pyogenes
Helicobacter pylori
Dehalococcoides mccartyi
Listeria welshimeri
Peptoniphilus sp.
Vitreoscilla sp.
Alistipes shahii
Collinsella stercoris
Endomicrobium proavitum
Campylobacter jejuni
Prochlorococcus marinus
Chlamydia psittaci
Sedimentisphaera cyanobacteriorum
Streptomyces paludis
Granulibacter bethesdensis
Brevibacterium luteolum
Mycoplasma californicum
Francisella halioticida
Rhodophyticola sp.
Listeria monocytogenes
Pseudoalteromonas marina
Planococcus halotolerans
Fusobacterium nucleatum
Streptomyces nodosus
Leucobacter muris
Rathayibacter tritici
Arcobacter nitrofigilis
Chlamydia trachomatis
Campylobacter coli
Streptococcus pneumoniae
Shewanella dokdonensis
Porphyromonas gingivalis
Anaerohalosphaera lusitana
Helicobacter pylori
Variovorax sp.
Paenibacillus kribbensis
Mycolicibacterium mageritense
Lactobacillus delbrueckii
